algorithm generator seed numberofsequences sizeofsequences cost scslength timems
dpscs random 1 10 2 bitcost 3 2362.42294312
dpscs random 1 10 3 bitcost 7 51335.3419304
dpscs random 1 10 4 bitcost 9 547283.048153
dpscs random 1 11 2 bitcost 3 7581.08496666
dpscs random 1 11 3 bitcost 7 225311.239004
dpscs random 1 12 2 bitcost 3 24262.6771927
dpscs random 1 12 3 bitcost 7 973644.514084
dpscs random 1 2 100 bitcost 183 447.771072388
dpscs random 1 2 101 bitcost 186 391.060829163
dpscs random 1 2 102 bitcost 189 461.403131485
dpscs random 1 2 103 bitcost 190 504.274845123
dpscs random 1 2 104 bitcost 190 422.884941101
dpscs random 1 2 105 bitcost 192 399.209022522
dpscs random 1 2 106 bitcost 193 425.878047943
dpscs random 1 2 107 bitcost 198 422.185897827
dpscs random 1 2 108 bitcost 199 434.031963348
dpscs random 1 2 109 bitcost 203 413.886070251
dpscs random 1 2 10 bitcost 16 5.56993484497
dpscs random 1 2 110 bitcost 202 521.556138992
dpscs random 1 2 111 bitcost 202 398.678064346
dpscs random 1 2 112 bitcost 206 470.216035843
dpscs random 1 2 113 bitcost 206 363.382101059
dpscs random 1 2 114 bitcost 207 550.703048706
dpscs random 1 2 115 bitcost 213 490.32998085
dpscs random 1 2 116 bitcost 214 547.024011612
dpscs random 1 2 117 bitcost 217 502.591848373
dpscs random 1 2 118 bitcost 218 447.573184967
dpscs random 1 2 119 bitcost 221 536.419868469
dpscs random 1 2 11 bitcost 18 8.0840587616
dpscs random 1 2 120 bitcost 221 532.174110413
dpscs random 1 2 121 bitcost 224 398.869991302
dpscs random 1 2 122 bitcost 227 376.320123672
dpscs random 1 2 123 bitcost 226 626.711130142
dpscs random 1 2 124 bitcost 231 578.616142273
dpscs random 1 2 125 bitcost 231 578.994035721
dpscs random 1 2 126 bitcost 234 319.373130798
dpscs random 1 2 127 bitcost 235 556.154966354
dpscs random 1 2 128 bitcost 237 406.826019287
dpscs random 1 2 129 bitcost 239 605.463027954
dpscs random 1 2 12 bitcost 21 9.53817367554
dpscs random 1 2 130 bitcost 239 848.340988159
dpscs random 1 2 131 bitcost 242 477.526903152
dpscs random 1 2 132 bitcost 247 836.256027222
dpscs random 1 2 133 bitcost 246 527.992010117
dpscs random 1 2 134 bitcost 249 658.350944519
dpscs random 1 2 135 bitcost 250 704.185962677
dpscs random 1 2 136 bitcost 254 672.636985779
dpscs random 1 2 137 bitcost 256 491.55497551
dpscs random 1 2 138 bitcost 258 835.802078247
dpscs random 1 2 139 bitcost 260 697.951793671
dpscs random 1 2 13 bitcost 22 9.61709022522
dpscs random 1 2 140 bitcost 261 719.252824783
dpscs random 1 2 141 bitcost 264 792.11807251
dpscs random 1 2 142 bitcost 264 734.408140182
dpscs random 1 2 143 bitcost 264 635.550022125
dpscs random 1 2 144 bitcost 268 675.848007202
dpscs random 1 2 145 bitcost 267 762.852907181
dpscs random 1 2 146 bitcost 272 693.077802658
dpscs random 1 2 147 bitcost 274 640.362977982
dpscs random 1 2 148 bitcost 277 1030.81798553
dpscs random 1 2 149 bitcost 277 644.85502243
dpscs random 1 2 14 bitcost 22 12.6121044159
dpscs random 1 2 150 bitcost 280 530.606031418
dpscs random 1 2 151 bitcost 282 991.763830185
dpscs random 1 2 152 bitcost 283 802.773952484
dpscs random 1 2 153 bitcost 285 950.98900795
dpscs random 1 2 154 bitcost 286 452.376842499
dpscs random 1 2 155 bitcost 291 673.063993454
dpscs random 1 2 156 bitcost 291 571.91491127
dpscs random 1 2 157 bitcost 290 947.983980179
dpscs random 1 2 158 bitcost 295 1058.85601044
dpscs random 1 2 159 bitcost 296 918.757915497
dpscs random 1 2 15 bitcost 24 13.9470100403
dpscs random 1 2 160 bitcost 297 1130.09500504
dpscs random 1 2 161 bitcost 300 885.429143906
dpscs random 1 2 162 bitcost 299 972.563028336
dpscs random 1 2 163 bitcost 304 1010.93196869
dpscs random 1 2 164 bitcost 303 1162.54615784
dpscs random 1 2 165 bitcost 307 920.936107635
dpscs random 1 2 166 bitcost 308 769.08993721
dpscs random 1 2 167 bitcost 311 582.431077957
dpscs random 1 2 168 bitcost 313 871.458768845
dpscs random 1 2 169 bitcost 315 1047.00112343
dpscs random 1 2 16 bitcost 27 15.6221389771
dpscs random 1 2 170 bitcost 319 533.009052277
dpscs random 1 2 171 bitcost 320 865.059137344
dpscs random 1 2 172 bitcost 323 1228.98697853
dpscs random 1 2 173 bitcost 327 895.2460289
dpscs random 1 2 174 bitcost 326 1044.51417923
dpscs random 1 2 175 bitcost 327 1223.67882729
dpscs random 1 2 176 bitcost 330 924.034118652
dpscs random 1 2 177 bitcost 333 1191.42389297
dpscs random 1 2 178 bitcost 335 940.757036209
dpscs random 1 2 179 bitcost 336 1254.13298607
dpscs random 1 2 17 bitcost 30 17.215013504
dpscs random 1 2 180 bitcost 337 1146.14510536
dpscs random 1 2 181 bitcost 335 1342.88406372
dpscs random 1 2 182 bitcost 341 736.049890518
dpscs random 1 2 183 bitcost 343 1238.14105988
dpscs random 1 2 184 bitcost 343 825.355052948
dpscs random 1 2 185 bitcost 347 641.130924225
dpscs random 1 2 186 bitcost 348 1129.57692146
dpscs random 1 2 187 bitcost 352 1454.17094231
dpscs random 1 2 188 bitcost 353 1046.0999012
dpscs random 1 2 189 bitcost 354 1165.46607018
dpscs random 1 2 18 bitcost 30 19.0699100494
dpscs random 1 2 190 bitcost 356 1074.05304909
dpscs random 1 2 191 bitcost 360 1500.96607208
dpscs random 1 2 192 bitcost 362 1077.27098465
dpscs random 1 2 19 bitcost 31 14.4159793854
dpscs random 1 2 20 bitcost 33 22.8760242462
dpscs random 1 2 21 bitcost 34 25.1369476318
dpscs random 1 2 22 bitcost 38 26.7388820648
dpscs random 1 2 23 bitcost 39 28.9499759674
dpscs random 1 2 24 bitcost 42 30.0600528717
dpscs random 1 2 25 bitcost 42 33.2009792328
dpscs random 1 2 26 bitcost 42 35.1939201355
dpscs random 1 2 27 bitcost 43 38.143157959
dpscs random 1 2 28 bitcost 46 39.2119884491
dpscs random 1 2 29 bitcost 48 25.7680416107
dpscs random 1 2 2 bitcost 3 0.437021255493
dpscs random 1 2 30 bitcost 50 46.5080738068
dpscs random 1 2 31 bitcost 52 31.307220459
dpscs random 1 2 32 bitcost 55 20.6389427185
