model,connection_target,end_time,server_number,update_rate,bucket_number,imbalance_threshold,total_connections,broken_connections,broken_rate,max_imbalance,ave_imbalance,moving_bucket_rate
dip,70000,10000,468,1.56,None,None,224850000,222196,0.098819658,None,None,None
dip,70000,10000,468,3.12,None,None,224850000,446781,0.198701801,None,None,None
dip,70000,10000,468,7.8,None,None,224850000,1108285,0.492899711,None,None,None
dip,70000,10000,468,15.6,None,None,224850000,2263075,1.006482099,None,None,None
dip,70000,10000,468,31.2,None,None,224850000,4406624,1.959806093,None,None,None
dip,70000,10000,468,78,None,None,224850000,11028206,4.904694685,None,None,None
dip_chain,70000,10000,468,1.56,None,None,32790000,135,0.000411711,None,None,None
dip_chain,70000,10000,468,3.12,None,None,32790000,541,0.001649893,None,None,None
dip_chain,70000,10000,468,7.8,None,None,32790000,3340,0.010186032,None,None,None
dip_chain,70000,10000,468,15.6,None,None,32790000,12479,0.038057335,None,None,None
dip_chain,70000,10000,468,31.2,None,None,32790000,44834,0.136730711,None,None,None
dip_chain,70000,10000,468,78,None,None,32790000,204590,0.623940226,None,None,None
dy_beamer,70000,30000,468,None,46800,10,2953989,99187,3.3577308514,None,None,158.11965812
dy_beamer,70000,30000,468,None,46800,15,6300643,205508,3.26169884566,None,None,153.205128205
dy_beamer,70000,30000,468,None,46800,20,6693298,200784,2.99977679165,None,None,140.811965812
dy_beamer,70000,30000,468,None,46800,25,10233016,178082,1.74026894906,None,None,91.8803418803
dy_beamer,70000,30000,468,None,46800,30,3939085,40168,1.01972920107,None,None,56.8376068376
dy_beamer,70000,30000,468,None,46800,35,34834452,110037,0.315885549168,None,None,33.547008547
dy_beamer,70000,30000,468,None,46800,40,53736112,65540,0.121966397569,None,None,22.4358974359
load_imba_round,10000,30000,468,None,468,None,None,None,None,None,66.06065528,None
load_imba_round,20000,30000,468,None,468,None,None,None,None,None,45.7273919,None
load_imba_round,30000,30000,468,None,468,None,None,None,None,None,36.40569436,None
load_imba_round,40000,30000,468,None,468,None,None,None,None,None,31.33420794,None
load_imba_round,50000,30000,468,None,468,None,None,None,None,None,27.91791606,None
load_imba_round,60000,30000,468,None,468,None,None,None,None,None,25.30689561,None
