scheme time requests
hash 0 1085.0
hash 1 1151.0
hash 2 1139.0
hash 3 1121.0
hash 4 1106.0
hash 5 1141.0
hash 6 1119.0
hash 7 1130.0
hash 8 1152.0
hash 9 1117.0
hash 10 1150.0
hash 11 1160.0
hash 12 1185.0
hash 13 1254.0
hash 14 1264.0
hash 15 1275.0
hash 16 1311.0
hash 17 1312.0
hash 18 1327.0
hash 19 1316.0
hash 20 1292.0
hash 21 1266.0
hash 22 1257.0
hash 23 1323.0
hash 24 1282.0
hash 25 1272.0
hash 26 1243.0
hash 27 1231.0
hash 28 1204.0
hash 29 1191.0
hash 30 1162.0
hash 31 1149.0
hash 32 1142.0
hash 33 1123.0
hash 34 1120.0
hash 35 1118.0
hash 36 1118.0
hash 37 1140.0
hash 38 1151.0
hash 39 1160.0
cheetah 0 1081.0
cheetah 1 1146.0
cheetah 2 1147.0
cheetah 3 1116.0
cheetah 4 1105.0
cheetah 5 1146.0
cheetah 6 1120.0
cheetah 7 1112.0
cheetah 8 1175.0
cheetah 9 1167.0
cheetah 10 1193.0
cheetah 11 1212.0
cheetah 12 1229.0
cheetah 13 1242.0
cheetah 14 1274.0
cheetah 15 1277.0
cheetah 16 1298.0
cheetah 17 1314.0
cheetah 18 1324.0
cheetah 19 1332.0
cheetah 20 1323.0
cheetah 21 1323.0
cheetah 22 1305.0
cheetah 23 1314.0
cheetah 24 1289.0
cheetah 25 1271.0
cheetah 26 1255.0
cheetah 27 1237.0
cheetah 28 1215.0
cheetah 29 1183.0
cheetah 30 1164.0
cheetah 31 1159.0
cheetah 32 1132.0
cheetah 33 1125.0
cheetah 34 1130.0
cheetah 35 1123.0
cheetah 36 1134.0
cheetah 37 1127.0
cheetah 38 1157.0
cheetah 39 1163.0
